filename,normalized_intensity_sum,width,height,channels,error
"PaACE2_Stitched[GFP 469,525]_C11_72hpi.png",1901432250.0,3746,3765,1,
"NvACE2_Stitched[GFP 469,525]_D8_48hpi.png",2327200317.0,3735,3752,1,
"NvACE2_Stitched[GFP 469,525]_C2_48hpi.png",2323827142.0,3769,3760,1,
"NvACE2_Stitched[GFP 469,525]_C2_72hpi.png",2839763805.0,3771,3957,1,
"NvACE2_Stitched[GFP 469,525]_F9_48hpi.png",1815043912.0,3757,3764,1,
"NvACE2_Stitched[GFP 469,525]_C10_72hpi.png",2382587992.0,3755,3761,1,
"NvACE2_Stitched[GFP 469,525]_D5_48hpi.png",1749623427.0,3744,3770,1,
"PaACE2_Stitched[GFP 469,525]_D3_48hpi.png",2102965885.0,3748,3771,1,
"NvACE2_Stitched[GFP 469,525]_D5_72hpi.png",2467193190.0,3751,3967,1,
"PaACE2_Stitched[GFP 469,525]_D3_72hpi.png",2262663980.0,3748,3771,1,
"PaACE2_Stitched[GFP 469,525]_B6_72hpi.png",1975488647.0,3754,3774,1,
"NvACE2_Stitched[GFP 469,525]_C4_72hpi.png",2804480967.0,3748,3961,1,
"PaACE2_Stitched[GFP 469,525]_D8_72hpi.png",2128068973.0,3734,3755,1,
"PaACE2_Stitched[GFP 469,525]_C2_72hpi.png",2165689999.0,3768,3760,1,
"hACE2_Stitched[GFP 469,525]_D10_72hpi.png",1620202768.0,3750,3756,1,
"NvACE2_Stitched[GFP 469,525]_C4_48hpi.png",2092499955.0,3744,3761,1,
"PaACE2_Stitched[GFP 469,525]_C2_48hpi.png",1619071333.0,3765,3760,1,
"NvACE2_Stitched[GFP 469,525]_F10_48hpi.png",1558491905.0,3774,3764,1,
"PaACE2_Stitched[GFP 469,525]_D8_48hpi.png",1968753960.0,3733,3754,1,
"NvACE2_Stitched[GFP 469,525]_D3_72hpi.png",1993581943.0,3753,3772,1,
"NvACE2_Stitched[GFP 469,525]_C9_72hpi.png",2643225724.0,3756,3796,1,
"NvACE2_Stitched[GFP 469,525]_F2_48hpi.png",2177357525.0,3743,3780,1,
"NvACE2_Stitched[GFP 469,525]_E7_72hpi.png",2438311845.0,3755,3760,1,
"NvACE2_Stitched[GFP 469,525]_D3_48hpi.png",2281508339.0,3752,3770,1,
"NvACE2_Stitched[GFP 469,525]_F2_72hpi.png",2574740224.0,3754,3779,1,
"NvACE2_Stitched[GFP 469,525]_E7_48hpi.png",2025368876.0,3746,3760,1,
"PaACE2_Stitched[GFP 469,525]_D5_48hpi.png",1653124724.0,3744,3767,1,
"NvACE2_Stitched[GFP 469,525]_B7_48hpi.png",2230168357.0,3749,3774,1,
"PaACE2_Stitched[GFP 469,525]_C5_48hpi.png",1664540604.0,3742,3759,1,
"hACE2_Stitched[GFP 469,525]_C5_72hpi.png",2129970331.0,3756,3763,1,
"NvACE2_Stitched[GFP 469,525]_D9_48hpi.png",2017658246.0,3748,3755,1,
"NvACE2_Stitched[GFP 469,525]_C3_48hpi.png",2350642847.0,3745,3759,1,
"NvACE2_Stitched[GFP 469,525]_F8_48hpi.png",1662506638.0,3751,3766,1,
"PaACE2_Stitched[GFP 469,525]_C5_72hpi.png",1743948566.0,3748,3758,1,
"NvACE2_Stitched[GFP 469,525]_B7_72hpi.png",2830506511.0,3750,3971,1,
"NvACE2_Stitched[GFP 469,525]_D9_72hpi.png",2809605584.0,3757,3951,1,
"PaACE2_Stitched[GFP 469,525]_C8_48hpi.png",1988988807.0,3734,3762,1,
"NvACE2_Stitched[GFP 469,525]_D4_48hpi.png",2032756293.0,3762,3767,1,
"PaACE2_Stitched[GFP 469,525]_C8_72hpi.png",2131213884.0,3730,3761,1,
"PaACE2_Stitched[GFP 469,525]_D2_72hpi.png",2272358574.0,3769,3762,1,
"NvACE2_Stitched[GFP 469,525]_D4_72hpi.png",2759415645.0,3764,3962,1,
"PaACE2_Stitched[GFP 469,525]_D9_72hpi.png",1617787494.0,3751,3756,1,
"hACE2_Stitched[GFP 469,525]_B10_72hpi.png",2431428828.0,3763,3966,1,
"PaACE2_Stitched[GFP 469,525]_C3_72hpi.png",2167973996.0,3746,3760,1,
"PaACE2_Stitched[GFP 469,525]_B7_72hpi.png",2177297499.0,3750,3772,1,
"NvACE2_Stitched[GFP 469,525]_C5_72hpi.png",2322527240.0,3742,3762,1,
"PaACE2_Stitched[GFP 469,525]_C3_48hpi.png",2069327220.0,3749,3759,1,
"NvACE2_Stitched[GFP 469,525]_D2_72hpi.png",2663446223.0,3770,3779,1,
"NvACE2_Stitched[GFP 469,525]_G7_48hpi.png",2075603096.0,3756,3761,1,
"NvACE2_Stitched[GFP 469,525]_C8_48hpi.png",2281149867.0,3728,3763,1,
"NvACE2_Stitched[GFP 469,525]_D2_48hpi.png",2157809824.0,3768,3761,1,
"NvACE2_Stitched[GFP 469,525]_G7_72hpi.png",2483881740.0,3761,3762,1,
"PaACE2_Stitched[GFP 469,525]_B2_72hpi.png",2253666963.0,3755,3762,1,
"PaACE2_Stitched[GFP 469,525]_C6_72hpi.png",1757093472.0,3756,3761,1,
"NvACE2_Stitched[GFP 469,525]_B4_72hpi.png",2503083533.0,3744,3642,1,
"NvACE2_Stitched[GFP 469,525]_B4_48hpi.png",2068902212.0,3737,3774,1,
"NvACE2_Stitched[GFP 469,525]_G2_48hpi.png",2154824277.0,3746,3761,1,
"NvACE2_Stitched[GFP 469,525]_D7_72hpi.png",2682942934.0,3759,3802,1,
"NvACE2_Stitched[GFP 469,525]_B9_72hpi.png",2796758585.0,3760,3954,1,
"NvACE2_Stitched[GFP 469,525]_G10_48hpi.png",1683247596.0,3773,3773,1,
"NvACE2_Stitched[GFP 469,525]_G2_72hpi.png",2750170809.0,3748,3958,1,
"NvACE2_Stitched[GFP 469,525]_D7_48hpi.png",2263587913.0,3749,3756,1,
"NvACE2_Stitched[GFP 469,525]_B9_48hpi.png",2115629219.0,3749,3763,1,
"NvACE2_Stitched[GFP 469,525]_E3_48hpi.png",1721562625.0,3747,3759,1,
"NvACE2_Stitched[GFP 469,525]_B10_48hpi.png",1816097762.0,3753,3763,1,
"hACE2_Stitched[GFP 469,525]_B4_72hpi.png",1865065797.0,3742,3776,1,
"NvACE2_Stitched[GFP 469,525]_E8_48hpi.png",1600101628.0,3746,3762,1,
"NvACE2_Stitched[GFP 469,525]_B2_48hpi.png",2300736828.0,3751,3760,1,
"NvACE2_Stitched[GFP 469,525]_G9_48hpi.png",1852965208.0,3755,3760,1,
"NvACE2_Stitched[GFP 469,525]_B10_72hpi.png",2608267854.0,3762,3965,1,
"NvACE2_Stitched[GFP 469,525]_B2_72hpi.png",2657623745.0,3760,3748,1,
"PaACE2_Stitched[GFP 469,525]_G2_72hpi.png",2055525639.0,3749,3757,1,
"NvACE2_Stitched[GFP 469,525]_G4_48hpi.png",1815900456.0,3743,3761,1,
"PaACE2_Stitched[GFP 469,525]_B11_72hpi.png",2002123714.0,3766,3762,1,
"PaACE2_Stitched[GFP 469,525]_D7_72hpi.png",1965828362.0,3755,3756,1,
"PaACE2_Stitched[GFP 469,525]_C7_72hpi.png",2065156300.0,3745,3760,1,
"NvACE2_Stitched[GFP 469,525]_B5_72hpi.png",2324761337.0,3749,3773,1,
"PaACE2_Stitched[GFP 469,525]_B3_72hpi.png",2178297133.0,3751,3759,1,
"NvACE2_Stitched[GFP 469,525]_B5_48hpi.png",1819659787.0,3739,3774,1,
"PaACE2_Stitched[GFP 469,525]_B3_48hpi.png",1980457696.0,3753,3760,1,
"NvACE2_Stitched[GFP 469,525]_E2_72hpi.png",2719449202.0,3779,3956,1,
"NvACE2_Stitched[GFP 469,525]_F7_48hpi.png",2088048542.0,3753,3766,1,
"NvACE2_Stitched[GFP 469,525]_G3_48hpi.png",1724941988.0,3750,3761,1,
"hACE2_Stitched[GFP 469,525]_C10_72hpi.png",1884732582.0,3755,3764,1,
"NvACE2_Stitched[GFP 469,525]_B8_48hpi.png",2304465707.0,3730,3772,1,
"NvACE2_Stitched[GFP 469,525]_E2_48hpi.png",2077180641.0,3767,3760,1,
"NvACE2_Stitched[GFP 469,525]_F7_72hpi.png",2620743976.0,3761,3942,1,
"hACE2_Stitched[GFP 469,525]_B5_72hpi.png",1739564692.0,3747,3775,1,
"NvACE2_Stitched[GFP 469,525]_E9_48hpi.png",1831970658.0,3756,3760,1,
"NvACE2_Stitched[GFP 469,525]_D10_72hpi.png",2369987765.0,3766,3756,1,
"NvACE2_Stitched[GFP 469,525]_B3_48hpi.png",2351113514.0,3751,3756,1,
"NvACE2_Stitched[GFP 469,525]_C7_48hpi.png",2293593677.0,3746,3762,1,
"PaACE2_Stitched[GFP 469,525]_B5_48hpi.png",1761740485.0,3746,3769,1,
"NvACE2_Stitched[GFP 469,525]_D10_48hpi.png",1832243912.0,3754,3756,1,
"NvACE2_Stitched[GFP 469,525]_G8_48hpi.png",1696938261.0,3749,3760,1,
"NvACE2_Stitched[GFP 469,525]_C7_72hpi.png",2734496493.0,3751,3785,1,
"NvACE2_Stitched[GFP 469,525]_E4_48hpi.png",1667838897.0,3754,3758,1,
"PaACE2_Stitched[GFP 469,525]_D11_72hpi.png",1889078643.0,3739,3753,1,
"PaACE2_Stitched[GFP 469,525]_B8_48hpi.png",1953968877.0,3731,3773,1,
"PaACE2_Stitched[GFP 469,525]_D6_72hpi.png",1850421733.0,3773,3769,1,
"PaACE2_Stitched[GFP 469,525]_B8_72hpi.png",2143464670.0,3731,3771,1,
